2000 
38,38
114,150
140,194
33,72
116,115
68,124
102,28
161,168
153,195
0,75
64,29
53,92
144,61
120,22
16,110
189,68
140,83
145,91
86,135
137,96
79,198
98,8
5,173
181,184
62,135
5,82
31,98
14,90
197,6
197,6
103,151
27,33
6,34
132,31
124,102
2,94
166,89
153,122
91,115
109,192
43,118
37,78
10,186
92,62
194,79
42,94
22,68
199,122
130,119
161,189
8,121
4,48
142,131
91,91
96,14
27,155
23,91
93,134
19,176
113,75
142,69
5,133
180,9
89,119
110,111
24,66
197,182
8,81
126,179
157,109
81,69
192,101
112,46
28,195
19,59
87,78
110,125
187,186
134,61
10,42
149,166
80,50
55,72
121,72
90,50
175,198
156,29
72,108
120,166
193,24
128,99
105,48
181,85
118,152
15,147
81,113
164,15
17,80
19,129
170,167
123,49
188,73
65,190
159,83
119,66
162,106
190,57
174,145
136,132
55,76
22,172
166,152
181,53
198,21
164,133
46,30
131,117
20,91
9,75
166,45
183,117
24,49
168,5
58,13
187,110
37,106
143,98
32,114
167,112
48,16
197,51
8,46
185,39
91,32
28,164
97,66
124,170
181,20
96,109
23,186
106,88
30,124
37,72
124,28
21,90
63,168
133,191
106,169
21,80
34,174
12,73
37,43
114,69
25,159
3,126
60,165
80,181
160,17
55,18
102,11
195,59
7,39
30,187
173,140
187,43
67,170
77,102
83,76
114,64
91,95
177,32
88,70
115,13
34,120
1,98
173,2
61,25
105,29
193,17
172,66
3,118
167,67
198,100
103,98
20,174
3,199
122,9
55,188
29,92
43,190
167,175
7,189
74,8
37,83
194,99
126,192
116,98
56,125
118,100
72,169
34,56
161,112
199,92
74,180
96,87
181,58
88,65
120,98
86,49
7,71
160,182
189,163
83,82
95,180
4,180
132,24
9,48
56,93
120,134
7,1
126,118
142,63
155,122
48,66
105,126
177,21
157,1
134,61
189,103
72,1
125,141
60,39
89,46
156,155
88,186
52,92
38,163
29,105
56,45
120,90
67,126
21,141
126,12
4,143
186,167
200,191
119,12
178,11
60,173
126,39
180,133
16,99
191,109
48,40
156,50
125,36
126,177
26,185
76,17
166,153
187,143
52,161
168,86
51,3
75,133
171,169
158,49
161,199
141,43
109,20
169,124
29,64
62,57
66,117
93,186
117,162
96,23
92,149
52,10
10,115
145,119
10,188
148,88
168,37
133,171
69,178
108,85
84,21
81,146
181,31
108,99
62,171
13,147
149,92
158,3
117,148
51,196
73,38
21,128
107,183
37,36
57,19
26,175
135,22
102,158
153,123
163,164
136,111
145,42
49,200
130,123
85,0
150,198
78,18
85,28
129,88
66,131
134,81
79,53
117,116
133,148
5,8
143,50
82,181
136,115
175,164
91,63
5,199
38,171
99,115
147,163
22,196
133,68
129,159
183,91
102,82
94,115
43,129
178,66
109,136
60,76
131,132
194,16
38,21
87,134
146,123
187,115
25,113
154,48
188,94
52,38
107,114
7,91
90,147
81,60
174,71
83,140
67,152
38,37
84,84
16,108
124,45
27,128
67,22
59,187
125,200
2,192
116,37
50,200
83,126
181,160
142,12
20,198
161,32
68,122
184,172
2,116
18,155
89,181
195,103
9,84
137,191
0,70
